# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 3.0440e+03 4.1900e-02 -1.4570e-02 5.4346e+03 4.9871e+03 -2.6120e-02 8.4066e+02 1.7853e-01 1.6662e-01 1.1651e-01 2.2410e+03 1.4936e+03 0.0000e+00 0.0000e+00
1.0410e-03 3.1462e+03 4.6593e-02 -1.6564e-02 5.6511e+03 5.0400e+03 -2.8255e-02 8.4066e+02 1.9350e-01 1.8044e-01 1.2618e-01 2.2410e+03 1.4936e+03 0.0000e+00 0.0000e+00
1.0837e-03 3.2518e+03 5.1825e-02 -1.8829e-02 5.8753e+03 5.0951e+03 -3.0560e-02 8.4065e+02 2.0972e-01 1.9539e-01 1.3664e-01 2.2409e+03 1.4935e+03 0.0000e+00 0.0000e+00
1.1282e-03 3.3609e+03 5.7661e-02 -2.1400e-02 6.1077e+03 5.1528e+03 -3.3047e-02 8.4065e+02 2.2731e-01 2.1157e-01 1.4797e-01 2.2408e+03 1.4934e+03 0.0000e+00 0.0000e+00
1.1745e-03 3.4735e+03 6.4171e-02 -2.4317e-02 6.3482e+03 5.2130e+03 -3.5731e-02 8.4065e+02 2.4637e-01 2.2908e-01 1.6022e-01 2.2407e+03 1.4933e+03 0.0000e+00 0.0000e+00
1.2227e-03 3.5899e+03 7.1436e-02 -2.7627e-02 6.5973e+03 5.2760e+03 -3.8625e-02 8.4064e+02 2.6704e-01 2.4801e-01 1.7347e-01 2.2406e+03 1.4931e+03 0.0000e+00 0.0000e+00
1.2729e-03 3.7099e+03 7.9544e-02 -3.1381e-02 6.8550e+03 5.3419e+03 -4.1745e-02 8.4064e+02 2.8944e-01 2.6848e-01 1.8781e-01 2.2405e+03 1.4930e+03 0.0000e+00 0.0000e+00
1.3251e-03 3.8339e+03 8.8596e-02 -3.5636e-02 7.1215e+03 5.4110e+03 -4.5107e-02 8.4063e+02 3.1372e-01 2.9063e-01 2.0331e-01 2.2404e+03 1.4929e+03 0.0000e+00 0.0000e+00
1.3795e-03 3.9618e+03 9.8702e-02 -4.0459e-02 7.3972e+03 5.4833e+03 -4.8728e-02 8.4063e+02 3.4005e-01 3.1456e-01 2.2008e-01 2.2403e+03 1.4927e+03 0.0000e+00 0.0000e+00
1.4361e-03 4.0938e+03 1.0999e-01 -4.5922e-02 7.6821e+03 5.5591e+03 -5.2626e-02 8.4062e+02 3.6858e-01 3.4044e-01 2.3820e-01 2.2402e+03 1.4926e+03 0.0000e+00 0.0000e+00
1.4950e-03 4.2301e+03 1.2260e-01 -5.2108e-02 7.9764e+03 5.6386e+03 -5.6820e-02 8.4062e+02 3.9952e-01 3.6841e-01 2.5780e-01 2.2400e+03 1.4924e+03 0.0000e+00 0.0000e+00
1.5563e-03 4.3707e+03 1.3668e-01 -5.9110e-02 8.2804e+03 5.7220e+03 -6.1330e-02 8.4061e+02 4.3307e-01 3.9863e-01 2.7898e-01 2.2399e+03 1.4922e+03 0.0000e+00 0.0000e+00
1.6202e-03 4.5157e+03 1.5242e-01 -6.7030e-02 8.5943e+03 5.8093e+03 -6.6177e-02 8.4061e+02 4.6943e-01 4.3127e-01 3.0186e-01 2.2397e+03 1.4920e+03 0.0000e+00 0.0000e+00
1.6867e-03 4.6652e+03 1.7001e-01 -7.5984e-02 8.9181e+03 5.9009e+03 -7.1381e-02 8.4060e+02 5.0886e-01 4.6653e-01 3.2658e-01 2.2395e+03 1.4918e+03 0.0000e+00 0.0000e+00
1.7559e-03 4.8195e+03 1.8966e-01 -8.6102e-02 9.2521e+03 5.9971e+03 -7.6965e-02 8.4059e+02 5.5161e-01 5.0459e-01 3.5328e-01 2.2393e+03 1.4915e+03 0.0000e+00 0.0000e+00
1.8279e-03 4.9785e+03 2.1164e-01 -9.7528e-02 9.5963e+03 6.0979e+03 -8.2951e-02 8.4058e+02 5.9796e-01 5.4568e-01 3.8210e-01 2.2391e+03 1.4913e+03 0.0000e+00 0.0000e+00
