# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 2.7996e+03 7.7178e-02 -1.4850e-02 5.4356e+03 4.8938e+03 -2.5184e-02 7.9951e+02 1.7804e-01 1.6637e-01 1.1619e-01 2.1313e+03 1.4205e+03 0.0000e+00 0.0000e+00
1.1514e-03 3.1834e+03 1.0334e-01 -2.3267e-02 6.2293e+03 5.1077e+03 -3.3129e-02 7.9950e+02 2.3611e-01 2.1991e-01 1.5362e-01 2.1310e+03 1.4202e+03 0.0000e+00 0.0000e+00
1.3257e-03 3.6168e+03 1.3907e-01 -3.6361e-02 7.1255e+03 5.3516e+03 -4.3477e-02 7.9949e+02 3.1316e-01 2.9042e-01 2.0294e-01 2.1307e+03 1.4197e+03 0.0000e+00 0.0000e+00
1.5264e-03 4.1053e+03 1.8829e-01 -5.6641e-02 8.1332e+03 5.6334e+03 -5.6873e-02 7.9947e+02 4.1541e-01 3.8310e-01 2.6781e-01 2.1302e+03 1.4191e+03 0.0000e+00 0.0000e+00
1.7575e-03 4.6539e+03 2.5675e-01 -8.7869e-02 9.2604e+03 5.9614e+03 -7.4085e-02 7.9944e+02 5.5115e-01 5.0461e-01 3.5294e-01 2.1296e+03 1.4184e+03 0.0000e+00 0.0000e+00
2.0236e-03 5.2675e+03 3.5303e-01 -1.3561e-01 1.0514e+04 6.3458e+03 -9.5971e-02 7.9941e+02 7.3141e-01 6.6342e-01 4.6433e-01 2.1288e+03 1.4174e+03 0.0000e+00 0.0000e+00
2.3300e-03 5.9496e+03 4.8996e-01 -2.0793e-01 1.1899e+04 6.7944e+03 -1.2340e-01 7.9937e+02 9.7092e-01 8.7012e-01 6.0952e-01 2.1278e+03 1.4161e+03 0.0000e+00 0.0000e+00
2.6827e-03 6.7019e+03 6.8693e-01 -3.1632e-01 1.3416e+04 7.3185e+03 -1.5711e-01 7.9931e+02 1.2893e+00 1.1377e+00 7.9785e-01 2.1264e+03 1.4144e+03 0.0000e+00 0.0000e+00
3.0888e-03 7.5230e+03 9.7319e-01 -4.7683e-01 1.5064e+04 7.9238e+03 -1.9735e-01 7.9923e+02 1.7130e+00 1.4819e+00 1.0406e+00 2.1245e+03 1.4121e+03 0.0000e+00 0.0000e+00
3.5565e-03 8.4080e+03 1.3927e+00 -7.1154e-01 1.6836e+04 8.6196e+03 -2.4330e-01 7.9913e+02 2.2771e+00 1.9208e+00 1.3512e+00 2.1221e+03 1.4092e+03 0.0000e+00 0.0000e+00
4.0949e-03 9.3491e+03 2.0105e+00 -1.0507e+00 1.8720e+04 9.4065e+03 -2.9205e-01 7.9899e+02 3.0291e+00 2.4743e+00 1.7445e+00 2.1189e+03 1.4055e+03 0.0000e+00 0.0000e+00
4.7149e-03 1.0338e+04 2.9204e+00 -1.5354e+00 2.0699e+04 1.0285e+04 -3.3686e-01 7.9881e+02 4.0326e+00 3.1627e+00 2.2364e+00 2.1147e+03 1.4006e+03 0.0000e+00 0.0000e+00
5.4287e-03 1.1366e+04 4.2523e+00 -2.2198e+00 2.2748e+04 1.1244e+04 -3.6429e-01 7.9858e+02 5.3732e+00 4.0034e+00 2.8415e+00 2.1092e+03 1.3943e+03 0.0000e+00 0.0000e+00
6.2506e-03 1.2415e+04 6.1777e+00 -3.1698e+00 2.4833e+04 1.2266e+04 -3.4979e-01 7.9827e+02 7.1662e+00 5.0059e+00 3.5708e+00 2.1020e+03 1.3864e+03 0.0000e+00 0.0000e+00
7.1969e-03 1.3451e+04 8.9075e+00 -4.4593e+00 2.6907e+04 1.3320e+04 -2.5080e-01 7.9786e+02 9.5659e+00 6.1636e+00 4.4262e+00 2.0927e+03 1.3763e+03 0.0000e+00 0.0000e+00
8.2864e-03 1.4437e+04 1.2679e+01 -6.1712e+00 2.8903e+04 1.4359e+04 3.2476e-03 7.9732e+02 1.2778e+01 7.4425e+00 5.3942e+00 2.0807e+03 1.3637e+03 0.0000e+00 0.0000e+00
9.5410e-03 1.5341e+04 1.7732e+01 -8.3889e+00 3.0726e+04 1.5328e+04 5.2487e-01 7.9662e+02 1.7075e+01 8.7660e+00 6.4372e+00 2.0654e+03 1.3482e+03 0.0000e+00 0.0000e+00
1.0985e-02 1.6098e+04 2.4317e+01 -1.1157e+01 3.2258e+04 1.6154e+04 1.4866e+00 7.9570e+02 2.2810e+01 9.9980e+00 7.4835e+00 2.0459e+03 1.3292e+03 0.0000e+00 0.0000e+00
1.2649e-02 1.6661e+04 3.2698e+01 -1.4485e+01 3.3383e+04 1.6764e+04 3.1413e+00 7.9451e+02 3.0429e+01 1.0927e+01 8.4186e+00 2.0215e+03 1.3062e+03 0.0000e+00 0.0000e+00
1.4563e-02 1.6946e+04 4.3152e+01 -1.8258e+01 3.4007e+04 1.7088e+04 5.8414e+00 7.9295e+02 4.0481e+01 1.1260e+01 9.0815e+00 1.9911e+03 1.2790e+03 0.0000e+00 0.0000e+00
1.6768e-02 1.6962e+04 5.5669e+01 -2.2334e+01 3.4041e+04 1.7073e+04 1.0047e+01 7.9094e+02 5.3600e+01 1.0633e+01 9.2699e+00 1.9539e+03 1.2473e+03 0.0000e+00 0.0000e+00
